,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
33,20,Runnymede Street,Alexander,Moore,48,Sibling,Widowed,Male,Psychotherapist,None,Christian
34,21,Runnymede Street,Joan,Stone,90,Head,Widowed,Female,Retired Television production assistant,None,Christian
35,22,Runnymede Street,Gareth,Turner,63,Head,Single,Male,"Therapist, speech and language",None,Christian
36,22,Runnymede Street,Fiona,Harrison,49,None,Widowed,Female,"Scientist, research (medical)",None,None
37,23,Runnymede Street,Douglas,Charlton,67,Head,Widowed,Male,Recycling officer,None,Christian
38,24,Runnymede Street,Jennifer,Price,43,Head,Divorced,Female,Civil Service administrator,None,Methodist
39,25,Runnymede Street,Claire,Iqbal,41,Head,Divorced,Female,Architectural technologist,None,Christian
40,26,Runnymede Street,Sean,Gibbs,65,Head,Divorced,Male,Clothing/textile technologist,None,Christian
41,27,Runnymede Street,Rachael,Collins,53,Head,Widowed,Female,Unemployed,None,None
42,27,Runnymede Street,Mohamed,Collins,17,Son,NA,Male,Student,None,NA
43,28,Runnymede Street,Carol,Russell,23,Head,Single,Female,Heritage manager,None,Methodist
44,29,Runnymede Street,Caroline,Young,49,Head,Divorced,Female,Learning disability nurse,None,Methodist
45,29,Runnymede Street,Alan,Young,19,Son,Single,Male,University Student,None,None
46,29,Runnymede Street,Christian,Young,18,Son,Single,Male,Student,None,Methodist
47,30,Runnymede Street,Gerard,Shepherd,27,Head,Divorced,male,Unemployed,None,None
48,31,Runnymede Street,Gillian,Reynolds-Randall,48,Head,Single,Female,Sport and exercise psychologist,None,Methodist
49,31,Runnymede Street,Yvonne,Reynolds-Randall,12,Daughter,NA,Female,Student,None,NA
50,32,Runnymede Street,Diana,Parkinson,27,Head,Single,Female,Insurance account manager,None,Christian
51,33,Runnymede Street,Olivia,Wallis,73,Head,Married,Female,Retired Financial adviser,None,None
52,33,Runnymede Street,Alex,Wallis,75,Husband,Married,Male,Retired Astronomer,None,None
53,34,Runnymede Street,Carole,Jones,64,Head,Single,Female,"Conservation officer, nature",None,Catholic
54,35,Runnymede Street,Rhys,Smith,25,Head,Single,M,Sales promotion account executive,None,Muslim
55,36,Runnymede Street,Donna,Craig,43,Head,Single,Female,"Psychotherapist, dance movement",None,Christian
56,36,Runnymede Street,Daniel,Craig,8,Son,NA,Male,Student,None,NA
57,37,Runnymede Street,Allan,Heath,74,Head,Divorced,Male,Retired Paediatric nurse,None,Christian
58,38,Runnymede Street,Kathryn,Robinson,53,Head,Single,Female,"Psychotherapist, dance movement",None,Christian
59,39,Runnymede Street,Caroline,Cook,84,Head,Divorced,Female,Unemployed,None,Christian
60,39,Runnymede Street,Patrick,Cook,38,Son,Divorced,Male,Systems analyst,None,Christian
61,40,Runnymede Street,Holly,Berry,77,Head,Married,Female,Retired Field seismologist,None,Christian
62,40,Runnymede Street,Dean,Berry,76,Husband,Married,Male,Retired Radio broadcast assistant,None,None
63,41,Runnymede Street,Kim,Wilson,60,Head,Single,Female,Barrister,None,Christian
64,41,Runnymede Street,Emily,Wilson,23,Daughter,Single,Female,IT sales professional,None,Christian
65,41,Runnymede Street,Julian,Wilson,19,Son,Divorced,Male,University Student,None,Christian
66,42,Runnymede Street,Jay,Smith,57,Head,Single,Male,Medical illustrator,None,Christian
67,43,Runnymede Street,Susan,Bryant,31,Head,Single,Female,Dancer,None,Methodist
68,44,Runnymede Street,Roger,Gibbs,45,Head,Single,Male,Unemployed,None,Catholic
69,45,Runnymede Street,Denise,Miller,19,Head,Single,Female,University Student,None,None
70,46,Runnymede Street,Donald,Holmes,63,Head,Divorced,male,Bonds trader,None,None
71,47,Runnymede Street,Aimee,Goodwin,60,Head,Married,F,"Loss adjuster, chartered",None,Christian
72,47,Runnymede Street,Nathan,Goodwin,62,Husband,Married,Male,Sales promotion account executive,None,Christian
73,48,Runnymede Street,Rhys,Murray,53,Head,Married,Male,"Engineer, land",None,Methodist
74,48,Runnymede Street,Sylvia,Murray,51,Wife,Married,Female,Ceramics designer,None,None
75,49,Runnymede Street,Yvonne,Carroll,69,Head,Widowed,Female,Retired Radio broadcast assistant,None,None
76,50,Runnymede Street,Peter,Davies,58,Head,Single,Male,"Programmer, applications",None,None
77,51,Runnymede Street,Lynne,Greenwood,82,Head,Widowed,Female,Retired Network engineer,None,Christian
78,52,Runnymede Street,Roger,Harper,58,Head,Married,Male,Child psychotherapist,None,Christian
79,52,Runnymede Street,Julia,Harper,56,Wife,Married,Female,Public librarian,None,Christian
80,53,Runnymede Street,June,Ford,34,Head,Widowed,Female,Unemployed,None,Christian
81,53,Runnymede Street,Sarah,Shepherd,52,Lodger,Single,Female,Community development worker,None,None
82,54,Runnymede Street,Damien,Carter,85,Head,Divorced,Male,Retired Quarry manager,None,None
83,55,Runnymede Street,Sara,Stone,66,Head,Divorced,Female,Building surveyor,None,Christian
84,56,Runnymede Street,Anna,Boyle,68,Head,Divorced,Female,Retired Industrial buyer,None,Catholic
85,57,Runnymede Street,Bernard,Townsend,82,Head,Divorced,Male,Retired TEFL teacher,None,None
86,58,Runnymede Street,Owen,Jones,36,Head,Single,Male,Corporate investment banker,None,None
87,1,West Oval,Alice,Mason,39,Head,Married,female,Social researcher,None,Catholic
88,1,West Oval,Louis,Mason,46,Husband,Married,Male,Cabin crew,None,Catholic
89,2,West Oval,Brenda,Swift,31,Head,Single,Female,Risk manager,None,Christian
90,2,West Oval,Joe,Taylor,37,Partner,Single,Male,Web designer,None,Christian
91,3,West Oval,Natalie,Edwards,89,Head,Widowed,Female,Retired Visual merchandiser,None,Christian
92,4,West Oval,Bradley,Kelly,20,Head,Single,Male,University Student,None,None
93,4,West Oval,Carole,Patel,21,None,Single,Female,University Student,None,Methodist
94,4,West Oval,John,Scott,19,None,Single,m,University Student,None,None
95,4,West Oval,Amelia,Clark,20,None,Single,Female,University Student,None,Christian
96,4,West Oval,Leslie,Baker,21,None,Single,Male,University Student,None,Christian
97,5,West Oval,Melissa,Leach,47,Head,Widowed,Female,Unemployed,None,Methodist
98,5,West Oval,Charles,Leach,12,Son,NA,Male,Student,None,NA
99,6,West Oval,Sarah,Flynn,45,Head,Married,Female,Unemployed,None,Christian
100,6,West Oval,Bradley,Flynn,46,Husband,Married,Male,"Social research officer, government",None,Christian
101,6,West Oval,Rosemary,Flynn,28,Daughter,Single,Female,"Research officer, government",None,Christian
102,6,West Oval,Emily,Flynn,26,Daughter,Single,Female,Unemployed,None,Christian
103,6,West Oval,Natalie,Flynn,8,Daughter,NA,Female,Student,None,NA
104,7,West Oval,Jessica,Baldwin,53,Head,Single,Female,"Radiographer, therapeutic",None,Christian
105,7,West Oval,Damien,Chan,56,Partner,Single,Male,Health and safety inspector,None,None
106,7,West Oval,Joshua,Baldwin,17,Son,NA,Male,Student,None,NA
107,8,West Oval,Christopher,Williams,50,Head,Married,Male,Electrical engineer,None,Catholic
108,8,West Oval,Lesley,Williams,51,Wife,Married,Female,Horticultural therapist,None,None
109,8,West Oval,William,Williams,22,Son,Single,Male,University Student,None,Catholic
110,8,West Oval,Jade,Williams,17,Daughter,NA,Female,Student,None,NA
111,9,West Oval,Bruce,Roberts,52,Head,Single,Male,Air cabin crew,None,Christian
112,9,West Oval,Francesca,Davies,36,None,Single,Female,Unemployed,None,None
113,9,West Oval,Ricky,Davies,46,None,Single,Male,Unemployed,None,Christian
114,9,West Oval,Dylan,Jones,49,None,Single,Male,Naval architect,None,Christian
115,9,West Oval,Aimee,Hughes,49,None,Single,Female,"Production designer, theatre/television/film",None,Christian
116,1,Reindeer Freeway,Alice,Price,54,Head,Married,Female,Early years teacher,None,Catholic
117,1,Reindeer Freeway,Victor,Price,54,Husband,Married,Male,"Engineer, civil (contracting)",None,None
118,1,Reindeer Freeway,Joyce,Price,16,Daughter,NA,Female,Student,None,NA
119,2,Reindeer Freeway,Keith,Fowler,35,Head,Married,Male,Jewellery designer,None,None
120,2,Reindeer Freeway,Karen,Fowler,32,Wife,Married,Female,Emergency planning/management officer,None,None
121,2,Reindeer Freeway,Oliver,Fowler,10,Son,NA,male,Student,None,NA
122,3,Reindeer Freeway,Marcus,Russell,51,Head,Married,Male,Building surveyor,None,None
123,3,Reindeer Freeway,Gemma,Russell,46,Wife,Married,Female,Chartered accountant,None,None
124,4,Reindeer Freeway,Bryan,Cooper,38,Head,Married,Male,Hydrographic surveyor,None,None
125,4,Reindeer Freeway,Laura,Cooper,40,Wife,Married,Female,Barista,None,None
126,4,Reindeer Freeway,Antony,Cooper,14,Son,NA,Male,Student,None,NA
127,5,Reindeer Freeway,Beverley,Green,33,Head,Married,Female,Heritage manager,None,Sikh
128,5,Reindeer Freeway,Gordon,Green,33,Husband,Married,Male,"Accountant, chartered management",None,Sikh
129,5,Reindeer Freeway,Adrian,Green,8,Son,NA,Male,Student,None,NA
130,6,Reindeer Freeway,Sara,Hill,61,Head,Single,Female,"Engineer, land",None,Christian
131,7,Reindeer Freeway,Karen,James,53,Head,Single,Female,Optometrist,None,Christian
132,7,Reindeer Freeway,Jacob,James,32,Son,Divorced,Male,"Designer, industrial/product",None,None
133,8,Reindeer Freeway,Beverley,White,51,Head,Single,Female,Field trials officer,None,Catholic
134,8,Reindeer Freeway,Bruce,Davies,48,Partner,Single,Male,"Research officer, government",None,None
135,9,Reindeer Freeway,Alexandra,Kemp,54,Head,Divorced,Female,"Conservator, furniture",None,None
136,9,Reindeer Freeway,Mark,Watson,14,Son,NA,Male,Student,None,NA
137,9,Reindeer Freeway,Samuel,Watson,13,Son,NA,Male,Student,None,NA
138,10,Reindeer Freeway,Jenna,Read,37,Head,Single,Female,Unemployed,None,Methodist
139,10,Reindeer Freeway,Jason,McDonald-Read,7,Son,NA,Male,Student,None,NA
140,11,Reindeer Freeway,Lesley,Morley,18,Head,Married,Female,Student,None,NA
141,11,Reindeer Freeway,Gordon,Morley,19,Husband,Married,Male,University Student,None,NA
142,12,Reindeer Freeway,Louise,Gibson,27,Head,Married,Female,Retail merchandiser,None,Christian
143,12,Reindeer Freeway,Jeffrey,Gibson,31,Husband,Married,Male,Herpetologist,None,Christian
144,12,Reindeer Freeway,Diana,Gibson,0,Daughter,NA,Female,Child,None,NA
145,13,Reindeer Freeway,Georgia,Gordon,55,Head,Single,Female,Metallurgist,None,None
146,14,Reindeer Freeway,Jemma,Ward,17,Head,Married,Female,Student,None,NA
147,14,Reindeer Freeway,Roger,Ward,19,Husband,Married,Male,University Student,None,NA
148,14,Reindeer Freeway,Billy,Ward,0,Son,NA,Male,Child,None,NA
149,15,Reindeer Freeway,Carolyn,Walker,46,Head,Single,Female,Unemployed,None,Christian
150,15,Reindeer Freeway,Dale,Walker,1,Son,NA,Male,Child,None,NA
151,15,Reindeer Freeway,Simon,Ross,51,Lodger,Divorced,Male,"Lighting technician, broadcasting/film/video",None,None
152,16,Reindeer Freeway,Nicole,Lees,44,Head,Married,Female,Biomedical scientist,None,Catholic
153,16,Reindeer Freeway,Bradley,Lees,40,Husband,Married,Male,Art gallery manager,None,None
154,16,Reindeer Freeway,Chelsea,Lees,1,Daughter,NA,Female,Child,None,NA
155,16,Reindeer Freeway,Rachel,Lees,1,Daughter,NA,Female,Child,None,NA
156,17,Reindeer Freeway,Rachel,Kirby,19,Head,Single,Female,University Student,None,Methodist
157,17,Reindeer Freeway,Daniel,Webster,21,None,Single,Male,University Student,None,Christian
158,17,Reindeer Freeway,Francis,Young,21,None,Single,Male,University Student,None,Christian
159,17,Reindeer Freeway,Cheryl,Davey,19,None,Single,Female,University Student,None,Catholic
160,18,Reindeer Freeway,Olivia,Anderson,44,Head,Married,Female,Engineering geologist,None,Catholic
161,18,Reindeer Freeway,Terence,Anderson,43,Husband,Married,Male,"Librarian, academic",None,Catholic
162,18,Reindeer Freeway,Jordan,Turner,18,Son,Single,Male,Student,None,Catholic
163,18,Reindeer Freeway,Jake,Turner,13,Son,NA,Male,Student,None,NA
164,18,Reindeer Freeway,Helen,Turner,9,Daughter,NA,Female,Student,None,NA
165,19,Reindeer Freeway,Jodie,Jennings,65,Head,Single,Female,Unemployed,None,Christian
166,19,Reindeer Freeway,Melanie,Jennings,39,Daughter,Single,Female,Careers information officer,None,Christian
167,19,Reindeer Freeway,Thomas,Jennings,36,Son,Single,Male,Accommodation manager,None,None
168,20,Reindeer Freeway,Cameron,Garner,21,Head,Single,Male,University Student,None,Methodist
169,20,Reindeer Freeway,John,George,59,None,Single,Male,Insurance underwriter,None,Methodist
170,21,Reindeer Freeway,Margaret,Singh,80,Head,Widowed,Female,"Retired Producer, radio",None,Catholic
171,22,Reindeer Freeway,Maureen,Foster,44,Head,Married,Female,Analytical chemist,None,Methodist
172,22,Reindeer Freeway,Scott,Foster,44,Husband,Married,Male,Podiatrist,None,Methodist
173,22,Reindeer Freeway,Norman,Griffiths-Foster,25,Son,Single,Male,Estate manager/land agent,None,Methodist
174,23,Reindeer Freeway,Hilary,Bradley,40,Head,Single,Female,Unemployed,None,Catholic
175,23,Reindeer Freeway,June,Bradley,13,Daughter,NA,Female,Student,None,NA
176,23,Reindeer Freeway,Amy,Bradley,11,Daughter,NA,Female,Student,None,NA
177,24,Reindeer Freeway,Annette,Hodgson,42,Head,Single,Female,Research scientist (life sciences),None,Catholic
178,25,Reindeer Freeway,Sharon,Brown,28,Head,Married,Female,Communications engineer,None,None
179,25,Reindeer Freeway,Neil,Brown,30,Husband,Married,Male,Automotive engineer,None,None
180,25,Reindeer Freeway,Pamela,Brooks,7,Daughter,NA,Female,Student,None,NA
181,26,Reindeer Freeway,Heather,Osborne,36,Head,Single,Female,Analytical chemist,None,Methodist
182,26,Reindeer Freeway,Cheryl,Hammond,21,None,Single,Female,University Student,None,Catholic
183,26,Reindeer Freeway,Russell,Green,18,None,Single,Male,Student,None,NA
184,26,Reindeer Freeway,Max,Williams,33,None,Divorced,Male,Equality and diversity officer,None,None
185,27,Reindeer Freeway,Peter,Cook,41,Head,Single,Male,Chief Financial Officer,None,Catholic
186,27,Reindeer Freeway,Marion,Parsons,54,None,Divorced,Female,Unemployed,None,None
187,28,Reindeer Freeway,Elliott,Davies,80,Head,Married,Male,Retired Exhibition designer,None,Christian
188,28,Reindeer Freeway,Geraldine,Davies,81,Wife,Married,Female,Retired Marine scientist,None,Christian
189,28,Reindeer Freeway,Josh,Davies,43,Son,Single,Male,Probation officer,None,Christian
190,28,Reindeer Freeway,Michelle,Davies,41,Daughter,Divorced,Female,Unemployed,None,None
191,29,Reindeer Freeway,Joanna,Smith,67,Head,Married,Female,"Engineer, agricultural",None,Methodist
192,29,Reindeer Freeway,Ashley,Smith,69,Husband,Married,Male,Retired Telecommunications researcher,None,None
193,29,Reindeer Freeway,Eileen,Smith,21,Daughter,Single,Female,University Student,None,Methodist
194,30,Reindeer Freeway,Gareth,Parker,78,Head,Married,Male,Retired Tax inspector,None,None
195,30,Reindeer Freeway,Bethan,Parker,74,Wife,Married,Female,"Retired Engineer, maintenance",None,None
196,30,Reindeer Freeway,Chloe,Parker,37,Daughter,Single,Female,Bonds trader,None,None
197,31,Reindeer Freeway,Sally,Humphreys,60,Head,Married,Female,Agricultural consultant,None,Methodist
198,31,Reindeer Freeway,Clifford,Humphreys,62,Husband,Married,Male,Conference centre manager,None,Methodist
199,31,Reindeer Freeway,Jemma,Humphreys,30,Daughter,Single,Female,Unemployed,None,Methodist
200,31,Reindeer Freeway,Leah,Humphreys,25,Daughter,Single,Female,Colour technologist,None,Methodist
201,32,Reindeer Freeway,Jessica,Robinson,34,Head,Single,Female,"Geneticist, molecular",None,None
202,32,Reindeer Freeway,Patrick,Robinson-Austin,35,Partner,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
203,32,Reindeer Freeway,Lorraine,Robinson-Austin,0,Daughter,NA,Female,Child,None,NA
204,33,Reindeer Freeway,Annette,Robinson,52,Head,Single,Female,"Production designer, theatre/television/film",None,None
205,34,Reindeer Freeway,Paul,Johnson,33,Head,Single,Male,"Engineer, civil (contracting)",None,None
206,34,Reindeer Freeway,Natasha,Rhodes,31,Partner,Single,Female,Secretary/administrator,None,None
207,34,Reindeer Freeway,Kate,Ball-Johnson,3,Daughter,NA,Female,Child,None,NA
208,35,Reindeer Freeway,Joyce,Davies,18,Head,Single,Female,University Student,None,Christian
209,35,Reindeer Freeway,Cheryl,Nolan,20,None,Single,Female,University Student,None,None
210,35,Reindeer Freeway,Eleanor,Fletcher,21,None,Single,Female,University Student,None,Catholic
211,35,Reindeer Freeway,Deborah,Miah,18,None,Single,F,University Student,None,Methodist
212,36,Reindeer Freeway,Joyce,Johnson,53,Head,Single,Female,Engineering geologist,None,None
213,37,Reindeer Freeway,Holly,Edwards,47,Head,Married,Female,Museum education officer,None,Catholic
214,37,Reindeer Freeway,Lawrence,Moore,43,Husband,Married,Male,Planning and development surveyor,None,Catholic
215,37,Reindeer Freeway,Neil,Edwards,8,Adopted Son,NA,Male,Student,None,NA
216,38,Reindeer Freeway,Sarah,Naylor-Coles,53,Head,Married,Female,Product manager,None,Christian
217,38,Reindeer Freeway,Patrick,Naylor-Coles,54,Husband,Married,Male,Fashion designer,None,None
218,38,Reindeer Freeway,Paul,Naylor-Coles,17,Son,NA,Male,Student,None,NA
219,39,Reindeer Freeway,Megan,Fox,53,Head,Married,Female,Science writer,None,Christian
220,39,Reindeer Freeway,Brett,Fox,57,Husband,Married,Male,Science writer,None,Christian
221,39,Reindeer Freeway,Marian,Fox,18,Daughter,Single,Female,Student,None,Christian
222,40,Reindeer Freeway,Charlotte,Arnold,58,Head,Married,Female,Adult nurse,None,Christian
223,40,Reindeer Freeway,Barry,Arnold,60,Husband,Married,Male,Horticultural therapist,None,Christian
224,40,Reindeer Freeway,Eileen,Arnold,30,Daughter,Single,Female,Local government officer,None,Christian
225,41,Reindeer Freeway,Janet,Williams,40,Head,Married,Female,Metallurgist,None,None
226,41,Reindeer Freeway,Joe,Williams,38,Husband,Married,Male,Unemployed,None,None
227,41,Reindeer Freeway,Howard,Williams,10,Son,NA,Male,Student,None,NA
228,41,Reindeer Freeway,Paul,Williams,9,Son,NA,Male,Student,None,NA
229,42,Reindeer Freeway,Pauline,Lord,74,Head,Widowed,Female,Retired Brewing technologist,None,Methodist
230,43,Reindeer Freeway,Barbara,Wilson,63,Head,Married,Female,"Engineer, chemical",None,Christian
231,43,Reindeer Freeway,Patrick,Wilson,65,Husband,Married,Male,Unemployed,None,Christian
232,43,Reindeer Freeway,Liam,Wilson,33,Son,Single,Male,Ship broker,None,None
233,44,Reindeer Freeway,Suzanne,Farmer,43,Head,Married,Female,"Engineer, agricultural",None,Christian
234,44,Reindeer Freeway,Brandon,Farmer,47,Husband,Married,Male,"Conservator, furniture",None,None
235,44,Reindeer Freeway,Ellie,Farmer,9,Daughter,NA,Female,Student,None,NA
236,45,Reindeer Freeway,Natalie,Moore,35,Head,Single,Female,Unemployed,None,Catholic
237,45,Reindeer Freeway,Rebecca,Moore,12,Daughter,NA,Female,Student,None,NA
238,46,Reindeer Freeway,Leanne,McLean,42,Head,Married,Female,Set designer,None,Catholic
239,46,Reindeer Freeway,Karl,McLean,43,Husband,Married,Male,"Psychologist, educational",None,None
240,46,Reindeer Freeway,Leonard,McLean,54,Cousin,Single,Male,Newspaper journalist,None,None
241,47,Reindeer Freeway,Jean,Gibson,37,Head,Divorced,Female,Unemployed,None,None
242,47,Reindeer Freeway,Lauren,Gibson,1,Daughter,NA,Female,Child,None,NA
243,47,Reindeer Freeway,Hazel,Gibson,1,Daughter,NA,Female,Child,None,NA
244,48,Reindeer Freeway,Teresa,Hardy,54,Head,Widowed,Female,Unemployed,None,Christian
245,48,Reindeer Freeway,Yvonne,Hardy,17,Daughter,NA,Female,Student,Blind,NA
246,48,Reindeer Freeway,Jasmine,Hardy,16,Daughter,NA,Female,Student,None,NA
247,48,Reindeer Freeway,Marie,Hardy,12,Daughter,NA,Female,Student,None,NA
248,49,Reindeer Freeway,Gail,Nixon,46,Head,Married,Female,Arts administrator,None,Catholic
249,49,Reindeer Freeway,Terence,Nixon,54,Husband,Married,Male,Haematologist,None,None
250,49,Reindeer Freeway,Frances,Nixon,14,Daughter,NA,Female,Student,None,NA
251,50,Reindeer Freeway,Eileen,Fletcher,27,Head,Single,Female,Product designer,None,Christian
252,50,Reindeer Freeway,Kieran,Smith,53,None,Single,Male,Environmental manager,None,Christian
253,50,Reindeer Freeway,Paula,Morris,47,None,Single,Female,Lexicographer,None,None
254,51,Reindeer Freeway,Lynne,Norman,51,Head,Married,Female,Fast food restaurant manager,None,Christian
255,51,Reindeer Freeway,Donald,Norman,49,Husband,Married,Male,Records manager,None,Christian
256,51,Reindeer Freeway,Malcolm,Norman,14,Son,NA,Male,Student,None,NA
257,52,Reindeer Freeway,Malcolm,Carter,21,Head,Married,Male,University Student,None,None
258,52,Reindeer Freeway,Rita,Carter,19,Wife,Married,Female,University Student,None,None
259,52,Reindeer Freeway,Jade,Bryan,43,Lodger,Divorced,Female,Armed forces operational officer,None,None
260,53,Reindeer Freeway,Mathew,Blake,70,Head,Divorced,Male,Retired Conference centre manager,None,Christian
261,53,Reindeer Freeway,Olivia,Byrne,14,Granddaughter,NA,Female,Student,None,NA
262,53,Reindeer Freeway,Diane,Byrne,3,Granddaughter,NA,Female,Child,None,NA
263,54,Reindeer Freeway,Thomas,Murphy,20,Head,Single,Male,University Student,None,Christian
264,54,Reindeer Freeway,Michelle,Bull,21,None,Single,Female,University Student,None,None
265,54,Reindeer Freeway,Donna,Brady,22,None,Single,Female,University Student,None,Methodist
266,55,Reindeer Freeway,Jasmine,Ford,20,Head,Single,Female,University Student,None,None
267,55,Reindeer Freeway,Bethan,Whitehouse,33,None,Single,Female,Chartered loss adjuster,None,None
268,55,Reindeer Freeway,David,Burns,20,None,Single,male,University Student,None,None
269,56,Reindeer Freeway,Megan,Crawford,30,Head,Single,Female,Clinical biochemist,None,None
270,56,Reindeer Freeway,Eileen,Sykes,34,None,Divorced,Female,Landscape architect,None,None
271,57,Reindeer Freeway,Kieran,Skinner,49,Head,Single,Male,"Engineer, maintenance (IT)",None,Catholic
272,57,Reindeer Freeway,Tracey,Skinner-Parker,44,Partner,Single,female,"Research officer, government",None,Catholic
273,57,Reindeer Freeway,Leanne,Skinner-Parker,18,Daughter,Single,Female,Student,None,Catholic
274,57,Reindeer Freeway,Olivia,Skinner-Parker,15,Daughter,NA,Female,Student,None,NA
275,58,Reindeer Freeway,Vincent,Edwards,58,Head,Single,Male,Training and development officer,None,None
276,58,Reindeer Freeway,Natalie,Wallis,31,None,Single,Female,"Engineer, electronics",None,Christian
277,58,Reindeer Freeway,Jack,Pollard,22,None,Single,Male,University Student,None,Catholic
278,58,Reindeer Freeway,June,Heath,55,None,Single,Female,Waste management officer,None,Christian
279,58,Reindeer Freeway,Jodie,Hughes,35,None,Single,Female,"Programme researcher, broadcasting/film/video",None,Methodist
280,58,Reindeer Freeway,Lindsey,Harding,41,None,Single,Female,Unemployed,None,Christian
281,58,Reindeer Freeway,Derek,Scott,25,None,Single,Male,Advertising copywriter,None,Sikh
282,59,Reindeer Freeway,Terry,Fisher,35,Head,Single,Male,Unemployed,None,Catholic
283,60,Reindeer Freeway,Donald,Turner,46,Head,Single,Male,Medical physicist,None,None
284,60,Reindeer Freeway,Paige,Hall,38,None,Single,Female,Diagnostic radiographer,None,Methodist
285,60,Reindeer Freeway,Harry,Graham,43,None,Single,Male,Education administrator,None,Catholic
286,61,Reindeer Freeway,Georgia,Buckley,40,Head,Married,Female,"Development worker, international aid",None,Methodist
287,61,Reindeer Freeway,Raymond,Buckley,40,Husband,Married,M,Oncologist,None,Methodist
288,61,Reindeer Freeway,Sally,Buckley,17,Daughter,NA,Female,Student,None,NA
289,61,Reindeer Freeway,Stephanie,Buckley,13,Daughter,NA,Female,Student,None,NA
290,61,Reindeer Freeway,Natalie,Buckley,12,Daughter,NA,Female,Student,None,NA
291,62,Reindeer Freeway,Jonathan,Wood,42,Head,Married,Male,Sales executive,None,Catholic
292,62,Reindeer Freeway,Katy,Wood,36,Wife,Married,Female,Orthoptist,None,Catholic
293,62,Reindeer Freeway,Jake,Wood,5,Son,NA,Male,Student,None,NA
294,63,Reindeer Freeway,Naomi,Wells,32,Head,Married,Female,Chartered certified accountant,None,Christian
295,63,Reindeer Freeway,Bryan,Wells,37,Husband,Married,Male,Garment/textile technologist,None,Christian
296,63,Reindeer Freeway,Keith,Wells,9,Son,NA,Male,Student,None,NA
297,64,Reindeer Freeway,Hollie,Parker,72,Head,Married,Female,Retired Fine artist,None,Methodist
